Country,GDP
Afghanistan,1.45E+11
Albania,18882095518
Algeria,1.92E+11
Andorra,3352032737
Angola,1.07E+11
Antarctica,0.00E+00
Antigua and Barbuda,1757603704
Argentina,6.33E+11
Armenia,19502783988
Australia,1.68E+12
Austria,4.71E+11
Azerbaijan,78721058824
Bahamas,12897400000
Bahrain,44390820479
Bangladesh,4.60E+11
Barbados,5637914515
Belarus,72793457588
Belgium,5.79E+11
Belize,2824081836
Benin,17401746309
Bhutan,2.77E+11
Bolivia,43068885673
Bosnia and Herzegovina,24527507288
Botswana,20352322157
Brazil,1.92E+12
Brunei,16681531646
Bulgaria,89040398406
Burkina Faso,18884619613
Burma,62260000000
Burundi,3073414678
Cabo Verde,2314816792
Cambodia,29956769529
Cameroon,44341646509
Canada,2.14E+12
Central African Rep.,2382618615
Chad,12704149842
Chile,3.01E+11
China,1.80E+13
Colombia,3.44E+11
Comoros,1242519407
Dem. Rep. Congo,58065953573
Costa Rica,68380838316
Cote d'Ivoire,70018715017
Croatia,70964606465
Cuba,1.07E+11
Cyprus,28439052741
Czechia,2.91E+11
Denmark,3.95E+11
Djibouti,3515109075
Dominica,612048148
Dominican Republic,1.14E+11
Ecuador,1.15E+11
Egypt,4.77E+11
El Salvador,32488720000
Equatorial Guinea,11813908448
Eritrea,2065000000
Estonia,38100812959
Eswatini,4854167638
Ethiopia,1.27E+11
Fiji,4943248200
Finland,2.81E+11
France,2.78E+12
Gabon,21071739228
Gambia,2273060863
Georgia,24605375420
Germany,4.07E+12
Ghana,72838798788
Greece,2.19E+11
Greenland,0.00E+00
Grenada,1256413185
Guatemala,95003333381
Guinea,21227749389
Guinea-Bissau,1633559092
Guyana,15357537068
Haiti,20253551885
Honduras,31717700115
Hungary,1.79E+11
Iceland,27841648044
India,3.39E+12
Indonesia,1.32E+12
Iran,3.89E+11
Iraq,2.64E+11
Ireland,5.29E+11
Israel,5.22E+11
Italy,2.01E+12
Jamaica,17097760745
Japan,4.23E+12
Jordan,47451499859
Kazakhstan,2.21E+11
Kenya,1.13E+11
"Korea, South",1.67E+12
Kosovo,9429156202
Kuwait,1.85E+11
Kyrgyzstan,10930644915
Laos,15724383783
Latvia,41153912663
Lebanon,23130000000
Lesotho,2553459763
Liberia,4001047150
Libya,45752336036
Liechtenstein,7710000000
Lithuania,70334299008
Luxembourg,82274812251
Madagascar,14954967604
Malawi,13164667627
Malaysia,4.06E+11
Maldives,6189865408
Mali,18827176532
Malta,17765270015
Mauritania,10375460680
Mauritius,12898307089
Mexico,1.41E+12
Moldova,14420947884
Monaco,8784000000
Mongolia,16810883361
Montenegro,6095978868
Morocco,1.34E+11
Mozambique,17851491428
Namibia,12607436976
Nepal,40828247302
Netherlands,9.91E+11
New Zealand,2.47E+11
Nicaragua,15671583878
Niger,13969605583
Nigeria,4.77E+11
North Macedonia,13563132057
Norway,5.79E+11
Oman,1.15E+11
Pakistan,3.77E+11
Panama,76522511781
Papua New Guinea,30633444295
Paraguay,41722295362
Peru,2.43E+11
Philippines,4.04E+11
Poland,6.88E+11
Portugal,2.52E+11
Qatar,2.37E+11
Romania,3.01E+11
Russia,2.24E+12
Rwanda,13312796765
Saint Kitts and Nevis,961563259
Saint Lucia,2065027556
Saint Vincent and the Grenadines,948558503
San Marino,1855000000
Sao Tome and Principe,546680341
Saudi Arabia,1.11E+12
Senegal,27684430244
Serbia,63501748652
Seychelles,1588406479
Sierra Leone,3970343852
Singapore,4.67E+11
Slovakia,1.15E+11
Slovenia,62117768015
Somalia,8126105600
South Africa,4.06E+11
South Sudan,12000000000
Spain,1.40E+12
Sri Lanka,74403578363
Sudan,51662241775
Suriname,3620655116
Sweden,5.86E+11
Switzerland,8.08E+11
Syria,8970000000
Taiwan,7.92E+11
Tajikistan,10492123388
Tanzania,75709289056
Thailand,4.95E+11
Timor-Leste,3163324631
Togo,8126439481
Trinidad and Tobago,27899082337
Tunisia,46664948952
Turkey,9.06E+11
Uganda,45559202049
Ukraine,1.61E+11
United Arab Emirates,5.08E+11
United Kingdom,3.07E+12
United States of America,2.55E+13
Uruguay,71177146197
Uzbekistan,80391853885
Venezuela,4.82E+11
Vietnam,4.09E+11
West Bank and Gaza,19111900000
Yemen,21610000000
Zambia,29784454056
Zimbabwe,20678055598
